"Code,Name,Type,VAT,Related Vendor,Account Type"
"""1000"",""Cash"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1060"",""Term deposits"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1070"",""Investments in highly liquid funds"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1080"",""Deposits in transit / intermediary bank account"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1100"",""Short-term investments"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1200"",""Trade receivables"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1208"",""Less provision for doubtful debts"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1280"",""Claims to owner(s)"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1210"",""Tax prepayments"",""Assets"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""1240"",""Loan receivables"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1220"",""Card sales"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1221"",""Receivables from Social Insurance Board"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1222"",""Saatelehega müük koondarvele"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1230"",""Receivables from related parties"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1242"",""Interest receivables"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1246"",""Netting"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1250"",""Prepaid insurance"",""Assets"",""Turnover exempt from VAT"","""",""Detail"""
"""1252"",""Down payment for prepaid operating lease"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1254"",""Other prepaid expenses"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1310"",""Raw materials"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1320"",""Work in progress"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1330"",""Finished goods"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1340"",""Merchandise"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1350"",""Advances to suppliers"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1400"",""Biological assets"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1600"",""Shares of subsidiaries"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1610"",""Shares of associates"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1630"",""Other shares and securities"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1640"",""Other long-term receivables and prepayments"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1700"",""Investment property"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1710"",""Investment property - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1800"",""Land"",""Assets"",""Turnover exempt from VAT"","""",""Detail"""
"""1820"",""Buildings and structures"",""Assets"",""Turnover exempt from VAT"","""",""Detail"""
"""1821"",""Buildings and structures - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1830"",""Transportation facilities"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1831"",""Transportation facilities - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1832"",""Computers and computer systems"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1833"",""Computers and computer systems - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1834"",""Other machinery and equipment"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1835"",""Other machinery and equipment - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1840"",""Other property plant and equipment"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1841"",""Other property plant and equipment - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1870"",""Unfinished buildings projects"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1880"",""Prepayments for non-current assets"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1890"",""Bearer biological assets"",""Assets"",""VAT on acquisition of non-current assets"","""",""Detail"""
"""1900"",""Goodwill"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1901"",""Goodwill - accumulated amortisation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1910"",""Development expenditures"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1911"",""Development expenditures - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1920"",""Computer software"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1921"",""Computer software - accumulated depreciation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1940"",""Concessions patents licences trademarks"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1941"",""Concessions patents accumulated amortisation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1960"",""Other intangible assets"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""1961"",""Other intangible assets - accumulated amortisation"",""Assets"",""Not included in Turnover"","""",""Detail"""
"""1980"",""Unfinished intangible assets projects and prepayments"",""Assets"",""Value Added Tax 22%"","""",""Detail"""
"""2010"",""Short-term bank loans"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2020"",""Current bank overdrafts"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2030"",""Short-term loan from the owner"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2070"",""Current portion of long-term debt"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2080"",""Current portion of long-term financial lease liabilities"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2110"",""Trade payables"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2210"",""Salaries and wages payable"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2211"",""Maintenance support withholdings from salary"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2212"",""Fine withholdings from salary"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2219"",""Other withholdings from salaries"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2280"",""Vacation pay liability"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2305"",""Value added tax on sales in a permanent business location outside Estonia"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2306"",""Input value added tax in a permanent business location outside Estonia"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2307"",""Value added tax payable in a permanent business location"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2308"",""Value added tax on sales of OSS in the EU"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2309"",""Value added tax payable on sales of OSS"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2310"",""VAT on sales"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2311"",""Input value added tax"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2312"",""VAT on the acquisition of fixed assets"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2313"",""Value added tax paid on an import at customs"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2314"",""Reverse charge on VAT"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2315"",""Recalculation of input VAT corrections"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2316"",""Value added tax payable on imports"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2317"",""Value added tax payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2319"",""Proportionally calculated input VAT"",""Liability"",""Not included in Turnover"","""",""Detail"""
"""2309"",""Value added tax payable on sales of OSS"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2330"",""Personal income tax payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2340"",""Unemployment insurance premium payable"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
"""2350"",""Funded pension payment liabilities"",""Liability"",""Not included in Turnover"",""Tax Authority"",""Detail"""
